ACCOUNT_COID,PURPRINCIPAL
CI 0014 416266494         , 1892.7496
CI 0014 416268625         , 4145.8076
CI 0014 416267616         , 4385.7244
CI 0014 416267652         , 4639.8304
CI 0014 416269483         , 3574.4776
CI 0014 416267411         , 4300.6576
CI 0014 416269595         , 17955.684
CI 0014 416263084         , 4597.544
CI 0014 416267732         , 4293.3844
CI 0014 416269530         , 456.0
CI 0014 416263311         , 7147.9672
CI 0014 416267774         , 5427.6388
CI 0014 416263798         , 35825.5184
CI 0014 416269448         , 538.3156
CI 0014 416268029         , 7380.322
CI 0014 416269324         , 10300.3104
CI 0014 416270162         , 674.88
CI 0014 416268086         , 4872.5044
CI 0014 416269519         , 2280.0
CI 0014 416269939         , 92236.9288
CI 0014 416269600         , 2610.7748
CI 0014 416266344         , 2341.37
CI 0014 416270353         , 2588.1876
CI 0014 416264779         , 10595.4032
CI 0014 416269439         , 151999.9924
CI 0014 416268716         , 6631.5168
CI 0014 416267946         , 6963.7736
CI 0014 416268003         , 4329.8112
CI 0014 416261743         , 545.528
CI 0014 416262634         , 8152.2844
CI 0014 416267887         , 4289.0144
CI 0014 416267573         , 7763.4608
CI 0014 416267609         , 12705.566
CI 0014 416268883         , 3599.9908
CI 0014 600039903         , 782.3592
CI 0014 416269331         , 3635.9388
CI 0014 416270135         , 4298.5904
CI 0014 600039904         , 2683.4004
CI 0014 416266005         , 3090.2132
CI 0014 416268039         , 16951.3896
CI 0014 416263206         , 4759.7052
CI 0014 416267117         , 2070.0576
CI 0014 416269339         , 5330.5336
CI 0014 416268992         , 2000.434
CI 0014 416265498         , 444.7064
CI 0014 416264795         , 3658.564
CI 0014 416262705         , 5439.3884
CI 0014 600039906         , 13313.452
CI 0014 416269308         , 3415.478
CI 0014 416265532         , 14414.3424
CI 0014 416270446         , 3040.988
CI 0014 416270093         , 8950.7176
CI 0014 416270185         , 778.924
CI 0014 600039905         , 4016.8204
CI 0014 416269278         , 3264.1392
CI 0014 416268759         , 819.1204
CI 0014 416265610         , 3717.2208
CI 0014 416269086         , 1958.2616
CI 0014 416268434         , 16814.3312
CI 0014 416268627         , 1210.9688
CI 0014 416269555         , 6753.5956
CI 0014 416268807         , 8314.5292
CI 0014 416268147         , 74880.8088
CI 0014 416270100         , 14976.2104
CI 0014 416268836         , 5289.8888
CI 0014 416269347         , 9655.2908
CI 0014 416268232         , 13215.1156
CI 0014 416263618         , 4419.1492
CI 0014 416266702         , 7912.3904
CI 0014 416266280         , 2070.3464
CI 0014 416265517         , 11770.6748
CI 0014 600039908         , 8545.63
CI 0014 416260584         , 9821.48
CI 0014 416264263         , 10309.7496
CI 0014 416268835         , 872.024
CI 0014 416268087         , 2032.962
CI 0014 416261453         , 13982.7916
CI 0014 416267529         , 2611.208
CI 0014 600039907         , 1249.6756
CI 0014 416269351         , 8047.184
CI 0014 600039909         , 429.1796
CI 0014 416268348         , 2519.3012
CI 0014 416268763         , 4076.3056
CI 0014 416269823         , 1602.802
CI 0014 416267735         , 4708.1924
CI 0014 416263221         , 3290.3288
CI 0014 416267785         , 885.2404
CI 0014 416270440         , 23439.2132
CI 0014 416263466         , 5746.892
CI 0014 416269821         , 21199.5084
CI 0014 416268511         , 2773.4224
CI 0014 416268754         , 2865.846
CI 0014 416266254         , 2070.3464
CI 0014 416264817         , 19213.446
CI 0014 416269317         , 10929.9552
CI 0014 416268120         , 3703.6396
CI 0014 600039911         , 1780.8624
CI 0014 416270364         , 4080.0752
CI 0014 416270362         , 4469.3168
CI 0014 416269315         , 3774.0536
CI 0014 416267093         , 4181.8468
CI 0014 416269484         , 2458.7216
CI 0014 416264766         , 5673.324
CI 0014 416268486         , 11074.5224
CI 0014 416267775         , 5031.4888
CI 0014 416270274         , 1424.8252
CI 0014 416263343         , 2117.664
CI 0014 416264301         , 4158.0588
CI 0014 416268291         , 13255.8136
CI 0014 416269325         , 4627.2904
CI 0014 416268626         , 13724.2168
CI 0014 416269121         , 3478.216
CI 0014 416267605         , 11056.442
CI 0014 416270439         , 3954.6068
CI 0014 416266432         , 9144.1832
CI 0014 416266455         , 4806.4908
CI 0014 416270336         , 3959.41
CI 0014 416269531         , 380.0
CI 0014 416265818         , 974.5708
CI 0014 416269634         , 4424.1728
CI 0014 416267458         , 631.1268
CI 0014 416269722         , 3093.4888
CI 0014 416264910         , 7266.9224
CI 0014 416268936         , 6145.512
CI 0014 416261930         , 6360.3792
CI 0014 416270465         , 11300.8124
CI 0014 416263222         , 44124.0876
CI 0014 416268562         , 1474.5292
CI 0014 416270466         , 8639.4748
CI 0014 416266753         , 16333.6388
CI 0014 416262639         , 4527.472
CI 0014 416267452         , 3655.4328
CI 0014 416264468         , 14802.7404
CI 0014 416268282         , 3733.5076
CI 0014 416269362         , 14978.2472
CI 0014 416263312         , 6936.026
CI 0014 600039910         , 4065.9012
CI 0014 416267830         , 1854.9548
CI 0014 416265616         , 9221.8628
CI 0014 416265617         , 16394.4464
CI 0014 600039912         , 5140.0244
CI 0014 416263779         , 64141.8492
CI 0014 416264222         , 8254.6488
CI 0014 416269744         , 3530.7776
CI 0014 416268281         , 3742.1564
CI 0014 416265912         , 6515.0924
CI 0014 416268179         , 10646.84
CI 0014 416268243         , 4719.2732
CI 0014 416263833         , 5272.082
CI 0014 416268619         , 4151.4544
CI 0014 416265564         , 5066.464
CI 0014 416263675         , 1919.2508
CI 0014 416268183         , 5254.1004
CI 0014 416268458         , 9648.0176
CI 0014 416260353         , 2514.4372
CI 0014 416269105         , 3152.3888
CI 0014 416263288         , 5473.1324
CI 0014 416269213         , 7391.4636
CI 0014 416268004         , 874.836
CI 0014 416263308         , 4004.9188
CI 0014 416270536         , 4590.6432
CI 0014 600039913         , 883.6748
CI 0014 416268622         , 3038.5636
CI 0014 416269332         , 3206.6604
CI 0014 416263526         , 3336.6508
CI 0014 416263525         , 2313.4856
CI 0014 416268900         , 11213.7924
CI 0014 416268837         , 9581.776
CI 0014 416268272         , 62368.0244
CI 0014 416268286         , 4083.7764
CI 0014 416262872         , 32758.09
CI 0014 416268298         , 3360.3932
CI 0014 416265641         , 23885.3788
CI 0014 416270479         , 8254.7856
CI 0014 416269668         , 5270.2048
CI 0014 416267254         , 9638.9888
CI 0014 416270478         , 29412.76
CI 0014 600039914         , 2724.8584
CI 0014 416265886         , 5828.5388
CI 0014 416268191         , 1680.3524
CI 0014 416265565         , 15199.3616
CI 0014 416266295         , 1035.1656
CI 0014 416261207         , 2829.6852
CI 0014 416269197         , 813.2836
CI 0014 416268008         , 5970.8868
CI 0014 416267423         , 5951.6132
CI 0014 416267446         , 16401.8944
CI 0014 416265638         , 10246.7304
CI 0014 416267739         , 2950.7608
CI 0014 416265544         , 11022.7512
CI 0014 600039917         , 11400.0
CI 0014 416267874         , 10056.662
CI 0014 416269174         , 12670.0968
CI 0014 416267460         , 1321.754
CI 0014 416268196         , 3226.4812
CI 0014 416267668         , 5834.026
CI 0014 416262889         , 1681.9408
CI 0014 416266949         , 29637.264
CI 0014 416261135         , 3225.5464
CI 0014 416268539         , 3324.81
CI 0014 416261626         , 13342.5752
CI 0014 416270467         , 2078.144
CI 0014 600039919         , 3800.0
CI 0014 416266501         , 1499.1836
CI 0014 416265620         , 5123.2968
CI 0014 416269340         , 7348.326
CI 0014 416268993         , 2000.434
CI 0014 416265533         , 425.1592
CI 0014 416268905         , 12884.546
CI 0014 600039918         , 11400.0
CI 0014 416269309         , 4029.1476
CI 0014 416263610         , 9676.2972
CI 0014 416270472         , 4828.9336
CI 0014 416269624         , 2311.9808
CI 0014 416269303         , 2565.5472
CI 0014 416267771         , 2403.4772
CI 0014 416269087         , 1482.4788
CI 0014 416268173         , 12930.4576
CI 0014 416268868         , 13200.0372
CI 0014 416267845         , 6052.7236
CI 0014 416268808         , 12117.896
CI 0014 416265455         , 5145.5116
CI 0014 416269941         , 1546.7368
CI 0014 416266281         , 2752.4996
CI 0014 600015848         , 1938.0
CI 0014 416270468         , 2889.2996
CI 0014 416269372         , 5405.3632
